ID,Model,Page,Category,Phase,HP,kW,Reason
ksb_agri_uqd_182_3st_umai_150_radial_flow_p24,UQD 182 3ST + UMAI 150 (Radial Flow),24,KSB Agri 150 mm Borewell,T,3.0,2.2,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_uqd_182_4st_umai_150_radial_flow_p24,UQD 182 4ST + UMAI 150 (Radial Flow),24,KSB Agri 150 mm Borewell,T,3.0,2.2,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_uqd_182_6st_umai_150_radial_flow_p24,UQD 182 6ST + UMAI 150 (Radial Flow),24,KSB Agri 150 mm Borewell,T,5.0,3.7,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_uqd_182_9st_umai_150_radial_flow_p24,UQD 182 9ST + UMAI 150 (Radial Flow),24,KSB Agri 150 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_upfn_125_6st_umai_h_150_radial_flow_p29,UPFN 125 6ST + UMAI / H 150 (Radial Flow),29,KSB Agri 150 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_upfn_125_6st_umai_h_150_radial_flow_p29_2,UPFN 125 6ST + UMAI / H 150 (Radial Flow),29,KSB Agri 150 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_upfn_200_2st_umai_h_150_radial_flow_p31,UPFN 200 2ST + UMAI / H 150 (Radial Flow),31,KSB Agri 150 mm Borewell,T,5.0,3.7,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_upha_293_5a_hbc_small_radial_flow_p42_2,UPHA 293 5A + HBC (SMALL) (Radial flow),42,KSB Agri 200 mm Borewell,T,25.0,18.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_2e_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 2E + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,KSB Agri 200 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_2e_uma_150_8_pump_6_motor_combination_mixed_flow_p44_2,"BPHA 333 2E + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,KSB Agri 200 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_2c_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 2C + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,KSB Agri 200 mm Borewell,T,12.5,9.3,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_3c_uma_150_8_pump_6_motor_combination_mixed_flow_p44,"BPHA 333 3C + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",44,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_3c_hbc_small_mixed_flow_p45,BPHA 333 3C + HBC (SMALL) (Mixed flow),45,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_4f_hbc_small_mixed_flow_p45_2,BPHA 333 4F + HBC (SMALL) (Mixed flow),45,KSB Agri 200 mm Borewell,T,25.0,18.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_4c_hbc_small_mixed_flow_p45,BPHA 333 4C + HBC (SMALL) (Mixed flow),45,KSB Agri 200 mm Borewell,T,30.0,22.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_5f_hbc_small_mixed_flow_p45_3,BPHA 333 5F + HBC (SMALL) (Mixed flow),45,KSB Agri 200 mm Borewell,T,33.0,24.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_333_6c_hbc_small_mixed_flow_p45,BPHA 333 6C + HBC (SMALL) (Mixed flow),45,KSB Agri 200 mm Borewell,T,41.0,30.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_373_1a_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1A + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,KSB Agri 200 mm Borewell,T,7.5,5.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_373_1b_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1B + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,KSB Agri 200 mm Borewell,T,10.0,7.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_373_1d_uma_150_8_pump_6_motor_mixed_flow_p46,"BPHA 373 1D + UMA 150 (8"" Pump + 6"" Motor - Mixed flow)",46,KSB Agri 200 mm Borewell,T,12.5,9.3,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_2d_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 2D + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_3h_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 3H + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_3g_uma_150_8_pump_6_motor_combination_mixed_flow_p47,"BPHA 384 3G + UMA 150 (8"" Pump + 6"" Motor combination - Mixed flow)",47,KSB Agri 200 mm Borewell,T,25.0,18.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_2g_hbc_small_mixed_flow_p48,BPHA 384 2G + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,15.0,11.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_2d_hbc_small_mixed_flow_p48,BPHA 384 2D + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_3h_hbc_small_mixed_flow_p48,BPHA 384 3H + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,20.0,15.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_3g_hbc_small_mixed_flow_p48,BPHA 384 3G + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,25.0,18.5,"Source table extracted, but the curve has a severe inversion and requires manual verification."
ksb_agri_bpha_384_3d_hbc_small_mixed_flow_p48,BPHA 384 3D + HBC (SMALL) (Mixed flow),48,KSB Agri 200 mm Borewell,T,30.0,22.0,"Source table extracted, but the curve has a severe inversion and requires manual verification."
